ProductId,Description,Quantity,Weight
12,Sparkling Water 2L,1,0
10,White Sugar 1kg,1,0
1,Apple,1,0.5
2,Orange Navel,1,0.8
3,Banana,1,2
4,Zuchinni,1,1.5
5,Salt 1kg,1,0
12,Sparkling Water 2L,1,0
6,Chips 350g,1,0
7,Coke 6 pk,1,0
8,Green Onion,1,0
9,Leeks,1,0
10,White Sugar 1kg,1,0
11,Brown Sugar 1kg,1,0
12,Sparkling Water 2L,1,0
12,Sparkling Water 2L,1,0
12,Sparkling Water 2L,1,0
16,Rice 1kg,1,0
19,Cheese 100g,1,0
13,Water Bottle 4L,1,0
14,Chicken Breast,1,4
15,Sirloin,1,1.5
16,Rice 1kg,1,0
17,Milk 1L,1,0
18,Eggs Dozen,1,0
19,Cheese 100g,1,0
19,Cheese 100g,1,0
20,Coffee 1kg,1,0
